age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,poutcome,y
78,5,0,0,0,229,0,0,10,97,1,0,3,1
32,1,1,1,0,2089,1,0,9,132,1,0,3,1
33,4,1,1,0,3935,1,0,8,765,1,2,0,1
23,7,2,2,0,363,1,0,8,16,18,0,3,0
38,4,2,2,0,11971,1,0,9,609,2,3,0,0
36,4,2,2,0,553,0,0,1,106,2,0,3,0
52,1,1,1,0,1117,1,0,8,365,1,0,3,0
32,9,1,2,0,396,1,0,8,205,3,0,3,0
32,9,2,2,0,2204,1,0,9,11,4,0,3,0
34,4,2,2,0,872,1,0,8,105,2,0,3,0
55,1,1,0,0,145,0,0,3,59,3,2,1,0
26,1,1,0,0,0,1,0,8,425,1,0,3,0
32,2,2,0,1,-849,1,1,3,204,1,0,3,0
61,0,1,3,0,4629,1,0,4,181,1,1,2,1
45,1,0,0,0,844,0,0,6,1018,3,0,3,1
37,9,2,1,0,228,1,0,1,1740,2,0,3,0
38,9,2,1,0,50,0,0,1,98,2,0,3,0
34,9,1,2,0,1539,1,0,6,441,1,1,1,1
53,1,1,1,0,2231,1,0,5,272,3,0,3,0
48,0,1,1,0,3064,1,0,5,159,2,0,3,0
57,4,1,1,0,82,0,1,3,140,1,0,3,0
33,6,2,2,0,2155,0,0,9,295,1,0,3,0
36,5,2,1,0,101,1,1,8,314,1,0,3,0
54,9,0,1,0,784,1,1,8,579,1,0,3,0
41,1,1,0,0,-516,0,1,5,554,3,0,3,0
63,5,1,1,0,415,1,0,10,323,1,0,3,0
48,4,1,2,0,5887,0,0,1,227,2,0,3,0
48,7,1,1,0,1355,0,0,5,134,2,0,3,0
56,0,1,1,0,16873,0,0,10,223,1,0,3,0
51,1,0,1,0,203,1,0,8,134,1,5,0,0
31,7,1,1,0,338,1,0,4,155,1,0,3,0
29,9,1,1,0,444,1,0,5,130,4,0,3,0
41,4,1,1,0,0,0,1,5,630,3,0,3,0
32,9,2,2,0,360,0,0,9,164,2,0,3,0
37,4,1,2,0,0,0,0,5,268,2,3,2,1
42,2,0,2,1,2,1,0,8,380,1,0,3,0
31,4,2,2,0,6248,1,0,8,154,2,0,3,0
41,7,1,2,0,412,1,0,6,154,5,0,3,0
56,5,1,1,0,344,1,0,8,221,1,0,3,0
54,4,0,2,0,3222,0,0,1,67,2,0,3,0
41,1,0,1,0,174,1,0,8,367,2,1,1,0
40,9,2,1,0,591,0,1,1,87,6,0,3,0
50,1,0,0,0,388,0,0,3,701,1,0,3,0
40,10,1,1,0,219,1,0,9,204,2,1,0,0
27,0,0,1,0,451,1,0,5,652,1,0,3,1
60,5,1,0,0,5,0,0,1,63,2,0,3,0
28,0,2,1,0,177,1,1,8,150,1,0,3,0
52,7,1,1,0,657,0,0,5,398,2,2,0,1
37,4,1,2,0,1315,0,0,6,224,1,0,3,1
51,1,1,0,0,1466,1,0,8,406,2,0,3,0
41,9,2,1,0,879,0,1,5,60,4,0,3,0
35,1,2,0,0,293,1,0,8,521,2,0,3,0
38,0,1,1,0,424,1,0,0,279,1,0,3,0
34,1,1,1,0,1831,1,0,8,203,2,0,3,0
39,1,1,0,0,111,0,0,9,201,2,0,3,0
34,1,1,0,0,455,1,0,6,372,3,0,3,0
27,7,2,1,0,-195,1,0,8,391,1,0,3,1
32,4,2,2,0,3616,0,0,1,165,2,0,3,0
57,1,1,1,0,14093,0,0,1,231,5,0,3,0
41,11,2,2,0,1567,0,0,5,291,2,0,3,0
41,0,1,2,0,5426,1,0,8,149,2,0,3,0
30,0,2,2,0,261,0,0,10,233,1,20,0,0
36,1,0,1,0,2843,0,0,3,473,1,1,2,0
31,10,2,0,0,406,0,0,3,736,1,0,3,1
36,1,1,1,0,0,1,0,8,337,1,0,3,0
38,4,2,2,0,493,1,0,8,553,1,7,0,0
49,9,1,1,0,5996,0,0,9,345,2,0,3,0
57,7,2,0,0,3777,1,0,8,65,2,0,3,0
34,4,2,1,0,524,0,0,1,9,1,0,3,0
32,4,2,2,0,574,1,0,0,259,2,3,0,0
37,1,1,1,0,427,1,1,6,371,3,0,3,0
33,6,1,2,0,483,1,0,3,280,2,0,3,0
56,10,1,0,0,3391,0,0,0,243,1,0,3,1
27,3,1,0,0,0,1,0,5,435,3,0,3,0
21,8,2,1,0,2488,0,0,6,258,6,3,2,1
58,4,1,2,0,1517,1,0,5,7,5,0,3,0
32,6,1,1,0,217,1,1,5,317,5,0,3,0
33,1,2,1,0,22,0,0,4,76,2,1,0,0
25,8,2,1,0,331,0,0,1,170,4,0,3,1
25,9,2,1,0,505,0,1,9,386,2,0,3,1
30,7,1,1,0,1808,1,0,8,83,2,0,3,0
22,0,2,1,0,4111,0,1,1,65,1,0,3,0
39,1,1,0,0,52,0,0,1,69,1,0,3,0
46,4,0,2,0,25,0,0,6,564,2,0,3,0
31,0,0,1,0,1890,1,0,5,588,1,0,3,0
45,1,1,0,0,419,0,0,1,113,4,0,3,0
32,9,1,1,0,2693,1,0,8,16,1,0,3,0
36,1,1,1,0,-231,0,1,5,779,2,0,3,0
51,4,2,2,1,-55,1,0,8,281,2,6,0,0
34,6,2,2,0,462,0,0,1,1877,3,0,3,1
24,10,2,1,0,119,0,0,11,51,1,0,3,0
45,9,2,1,0,586,0,1,5,32,3,0,3,0
32,1,2,1,0,228,0,0,3,176,1,3,0,0
77,5,0,2,0,4659,0,0,0,161,1,0,3,1
41,1,1,0,0,168,1,0,9,187,3,0,3,0
37,1,1,0,0,0,1,0,8,24,1,0,3,0
43,1,1,3,1,-715,1,0,8,67,3,0,3,0
48,0,1,3,0,0,1,0,8,85,1,2,0,0
27,9,2,1,0,769,1,0,8,317,2,0,3,0
33,4,2,2,0,0,0,0,1,236,10,0,3,0
29,0,2,1,0,428,1,1,8,54,1,2,0,0
34,4,2,2,0,0,0,0,3,71,1,0,3,0
52,4,1,2,0,-970,1,0,3,489,1,0,3,1
60,4,1,3,0,6313,0,0,6,39,2,0,3,0
32,4,0,2,0,948,0,0,1,204,2,0,3,0
32,4,2,2,0,0,1,0,5,455,2,0,3,0
56,7,0,3,0,1877,1,0,8,86,1,0,3,0
31,4,2,2,0,874,1,0,9,190,2,0,3,0
42,0,1,1,0,323,1,1,8,280,2,0,3,0
35,4,1,2,0,106,0,1,1,588,2,0,3,0
56,5,1,0,0,1906,0,1,6,45,9,0,3,0
48,9,1,1,0,1152,1,0,5,168,5,0,3,0
46,0,1,1,0,179,1,0,4,194,4,1,1,0
37,9,2,3,0,391,1,0,8,103,3,0,3,0
41,2,1,3,0,89,1,0,8,333,2,0,3,0
36,4,2,2,0,442,1,1,5,102,3,0,3,0
45,10,0,0,1,-249,1,1,5,92,1,0,3,0
55,2,1,1,0,8104,0,0,3,213,2,0,3,0
39,9,1,1,0,501,0,0,8,289,1,0,3,0
35,9,0,1,0,308,0,0,1,77,2,0,3,0
55,0,1,1,0,602,0,0,6,324,3,2,2,1
55,9,1,1,0,273,1,0,4,84,3,3,0,0
27,6,2,1,0,50,0,0,4,168,1,0,3,0
34,9,1,1,0,1641,1,0,0,380,1,0,3,0
34,1,1,2,0,20,0,0,10,10,1,0,3,0
25,0,2,1,0,4590,1,0,8,199,2,0,3,0
41,0,2,1,0,-256,0,1,8,35,3,0,3,0
43,7,1,1,0,978,1,1,8,82,2,0,3,0
28,4,2,2,0,80,0,0,10,676,2,2,0,1
31,0,2,1,0,2104,1,0,6,455,1,0,3,0
78,3,1,1,0,499,0,0,7,80,4,0,3,0
45,1,0,1,0,1269,1,0,4,549,2,0,3,0
48,9,1,2,0,310,0,0,8,135,1,0,3,0
32,1,2,1,0,1143,1,1,5,412,1,0,3,0
42,9,1,1,0,2980,0,0,6,101,3,0,3,0
37,4,2,2,0,37,0,0,4,253,2,0,3,0
40,0,2,1,0,462,1,1,0,272,1,4,1,0
32,0,1,1,0,1031,1,0,5,84,1,0,3,0
42,4,1,2,0,9009,0,0,9,135,2,0,3,0
43,0,1,1,0,-465,1,1,5,166,1,0,3,0
44,0,1,1,0,5181,1,1,5,18,7,0,3,0
37,0,1,1,0,176,1,0,8,147,2,1,0,0
37,11,1,3,0,1699,0,0,6,63,1,0,3,0
37,0,1,2,0,0,1,0,9,65,2,1,0,0
28,9,2,2,0,172,1,1,3,194,2,0,3,0
32,7,2,1,0,0,0,1,5,333,2,0,3,0
34,0,2,1,0,6979,1,0,8,14,5,0,3,0
40,0,0,1,0,6,0,0,6,140,1,0,3,0
34,7,1,1,0,-62,1,0,6,109,3,0,3,0
34,6,1,2,0,1972,1,0,5,61,2,0,3,0
34,0,1,2,0,899,1,0,9,377,3,4,2,0
37,7,2,1,0,21,1,0,3,96,1,2,1,0
36,9,1,1,0,23,1,0,8,152,2,1,0,0
56,5,1,1,0,-1206,1,0,6,382,2,0,3,1
49,1,1,0,0,0,1,1,5,97,6,0,3,0
33,6,1,1,0,215,1,0,5,543,12,0,3,0
30,4,2,2,0,1372,0,0,9,240,2,0,3,0
36,7,1,1,0,1981,0,0,6,48,2,0,3,0
23,8,2,1,0,9216,0,0,6,471,2,0,3,0
57,5,0,1,0,39,1,0,5,354,3,0,3,0
27,1,2,1,0,5563,1,0,8,435,2,0,3,0
38,7,1,1,0,1,0,1,9,152,2,0,3,0
42,9,1,2,0,782,0,0,0,285,1,0,3,0
75,5,1,1,0,3771,0,0,0,185,1,2,2,1
34,9,2,2,0,992,1,0,8,301,1,2,2,0
48,9,1,1,0,1526,0,0,1,273,2,0,3,0
35,9,2,2,0,2658,1,0,1,768,2,3,0,1
39,4,0,2,0,1315,1,0,9,1337,4,1,0,0
29,1,2,2,0,455,0,0,0,403,1,0,3,1
45,9,2,2,0,0,1,0,9,139,2,0,3,0
42,9,1,1,0,2030,1,1,5,196,1,0,3,0
29,9,1,1,0,1599,1,0,5,115,1,1,0,0
38,7,2,1,0,-196,1,0,3,60,1,1,0,0
56,5,1,1,0,1333,0,0,1,17,14,0,3,0
36,9,2,1,0,9149,1,0,1,141,3,0,3,0
25,1,2,1,0,-350,1,0,6,95,3,0,3,0
38,9,1,2,0,432,1,0,8,10,2,1,1,0
57,6,1,1,0,11494,0,0,9,198,1,0,3,0
31,4,1,2,1,-253,0,0,1,220,4,0,3,0
42,4,1,2,0,372,1,0,1,654,2,0,3,1
45,9,1,1,0,1410,0,0,1,71,2,0,3,0
30,1,1,1,0,975,1,0,8,256,2,2,0,0
49,1,1,0,0,305,1,1,5,834,10,0,3,0
49,7,1,1,0,400,0,0,1,151,3,0,3,0
53,5,1,2,0,-22,1,0,5,20,3,0,3,0
37,9,1,1,0,4030,1,0,8,178,5,0,3,0
49,1,1,0,0,365,0,0,8,59,2,0,3,0
41,6,1,0,0,204,0,0,1,111,7,0,3,0
54,4,1,0,0,1691,1,0,9,186,1,0,3,0
32,7,2,1,0,406,1,0,8,227,1,0,3,0
33,9,1,1,0,-204,0,0,8,297,3,0,3,0
33,9,1,1,0,359,1,0,0,210,1,1,1,0
36,1,1,0,0,123,1,0,8,9,1,0,3,0
35,9,1,2,0,0,1,1,11,112,1,6,1,0
52,11,1,1,0,142,0,0,1,112,6,0,3,0
40,2,1,2,0,3571,0,0,6,222,3,0,3,0
44,9,2,1,0,33,1,0,8,195,3,10,0,0
45,1,2,1,0,0,1,0,5,768,2,5,2,0
30,8,2,1,0,3096,0,0,4,123,1,0,3,0
48,9,0,1,1,20,0,0,1,145,3,0,3,0
33,1,1,1,0,3576,1,0,0,124,1,2,1,0
57,9,1,3,0,206,1,0,8,216,3,0,3,0
57,3,1,0,0,7082,0,0,6,69,3,0,3,0
51,10,1,2,0,1634,1,0,5,168,4,0,3,0
34,0,2,1,0,1,1,0,5,483,7,0,3,0
50,6,1,2,0,4012,0,0,9,690,3,0,3,0
44,4,1,2,0,3762,0,0,1,125,12,0,3,0
27,0,1,1,0,-247,1,1,6,344,2,0,3,0
50,1,1,1,0,606,1,0,8,673,2,0,3,0
36,4,1,2,0,0,1,0,4,60,1,1,1,0
42,4,1,1,0,-189,1,0,8,247,2,0,3,0
32,10,2,1,0,0,0,0,8,123,2,0,3,0
42,4,1,2,0,484,1,0,5,144,2,0,3,0
43,9,1,1,0,0,0,1,8,9,2,5,0,0
31,4,1,2,0,395,1,0,3,155,3,0,3,0
32,4,1,2,0,2349,0,0,1,134,5,0,3,0
55,1,0,0,0,410,0,1,5,221,2,0,3,0
58,5,1,0,0,3401,1,0,3,84,3,2,0,0
46,1,1,0,0,222,0,0,1,71,2,0,3,0
55,1,1,1,0,989,1,1,8,246,4,0,3,0
34,4,1,2,0,415,0,1,5,361,2,0,3,0
28,10,2,1,0,16,0,0,1,119,4,0,3,0
42,9,0,2,0,7190,1,0,5,375,2,0,3,0
29,1,2,1,0,482,0,1,5,1097,3,0,3,1
54,3,1,1,0,209,1,1,5,97,1,0,3,0
32,9,2,1,0,0,0,0,1,181,2,0,3,0
39,9,2,2,0,5803,0,0,3,83,3,0,3,0
53,2,1,2,0,624,0,1,5,180,4,0,3,0
58,9,1,2,0,883,0,0,1,543,1,2,0,0
40,6,1,1,0,1516,1,1,8,373,1,0,3,0
29,8,2,1,0,872,1,0,8,230,1,0,3,0
33,9,1,2,0,-988,1,1,5,83,3,0,3,0
38,0,2,1,0,902,1,0,5,58,13,0,3,0
56,7,0,1,0,1007,0,0,5,88,6,0,3,0
40,7,1,1,0,0,1,0,6,297,1,3,0,0
24,1,2,1,0,174,1,1,8,487,1,0,3,1
46,4,1,1,0,12186,0,0,6,29,3,0,3,0
35,6,1,1,0,524,1,0,9,484,4,0,3,0
35,1,2,2,0,0,1,0,5,262,4,0,3,0
34,9,1,1,0,4,1,0,8,644,1,0,3,0
35,3,1,2,0,11219,0,0,1,699,2,1,0,0
38,9,2,2,0,0,0,0,1,247,2,0,3,0
50,1,1,0,0,5776,0,0,9,49,3,0,3,0
51,1,0,0,0,37,1,0,8,341,1,0,3,0
59,6,1,2,0,593,0,0,8,64,2,0,3,0
32,1,1,1,0,1148,1,0,0,121,1,0,3,0
37,1,2,1,0,3561,1,0,6,98,1,0,3,0
42,0,0,1,0,63,0,0,8,88,6,0,3,0
40,8,1,1,0,260,0,0,6,197,6,0,3,0
28,9,2,2,0,2269,1,0,8,331,1,0,3,0
47,0,1,1,0,1060,1,0,6,83,3,0,3,0
27,6,1,1,0,-220,1,0,8,138,2,0,3,0
41,4,1,2,0,49,1,0,5,312,5,0,3,0
34,0,1,2,0,69,0,1,1,120,3,6,2,1
50,1,1,0,0,4108,1,0,1,526,2,0,3,1
47,1,1,1,0,480,1,0,8,211,2,0,3,0
53,7,1,1,0,4994,0,0,1,62,6,0,3,0
53,9,0,1,0,0,1,1,5,135,5,0,3,0
47,4,1,2,0,3681,0,0,1,101,2,0,3,0
49,2,0,3,1,-701,1,0,5,988,2,0,3,1
29,4,1,2,0,451,0,0,4,451,1,0,3,0
45,1,0,0,0,-311,1,0,8,1030,1,0,3,1
38,2,1,1,0,593,1,1,5,1484,24,0,3,1
32,1,1,1,0,759,1,0,0,317,5,0,3,1
70,5,0,0,0,4531,0,0,8,445,1,0,3,0
65,5,0,0,0,1840,0,0,6,383,2,5,0,0
56,1,1,1,0,345,1,0,5,605,1,0,3,0
35,1,1,1,0,1287,1,0,5,330,2,0,3,0
56,4,1,3,0,353,0,1,5,171,2,0,3,0
56,9,1,1,0,205,0,1,5,442,2,0,3,0
49,2,1,1,0,687,1,0,0,772,1,0,3,1
38,10,1,0,0,1147,1,1,8,249,5,0,3,0
35,4,1,2,0,4286,1,0,8,357,1,0,3,0
38,0,1,2,0,605,0,0,9,147,2,0,3,0
49,1,1,1,0,8545,1,1,8,199,7,1,0,0
55,4,1,3,0,559,0,0,4,271,2,0,3,0
43,1,2,0,0,2,1,0,5,783,3,0,3,0
43,4,1,2,0,2,0,1,1,472,2,0,3,0
25,0,2,2,0,760,1,0,8,223,3,2,0,1
30,1,1,0,0,1317,1,0,8,395,2,0,3,0
46,1,1,1,0,182,0,0,3,56,1,0,3,0
50,0,1,0,0,276,0,1,6,641,6,0,3,0
35,2,1,1,0,2971,0,0,8,429,4,2,0,1
26,10,2,1,0,1064,0,0,8,113,1,0,3,0
45,0,1,3,0,1783,0,0,6,11,11,0,3,0
37,1,1,1,0,-67,0,0,3,157,1,0,3,0
60,6,2,2,0,179,0,1,5,79,4,0,3,0
38,4,1,2,0,1199,0,0,1,178,1,1,2,1
47,1,1,0,0,214,1,1,6,168,1,0,3,0
33,9,1,1,0,6699,0,0,9,425,1,1,0,0
51,10,1,1,0,1760,0,1,9,162,1,0,3,0
35,2,2,2,0,145,1,0,5,799,2,0,3,1
35,10,1,1,0,978,0,0,2,1370,3,3,2,1
48,0,2,1,0,1150,1,0,8,357,1,0,3,0
37,0,1,1,0,121,0,0,5,22,6,0,3,0
29,9,2,2,0,828,1,0,0,215,3,3,1,0
34,0,1,1,0,244,1,0,5,56,4,0,3,0
32,7,1,0,0,228,1,0,5,1017,6,0,3,1
30,4,2,2,0,424,0,0,0,298,4,0,3,1
47,4,0,2,0,447,0,1,8,126,1,0,3,0
33,1,1,0,0,-195,0,0,11,9,1,0,3,0
33,4,2,2,0,1410,1,0,3,8,1,5,0,0
63,5,1,0,0,1084,0,0,10,201,1,1,2,0
51,6,0,0,0,10924,0,0,8,106,2,0,3,0
41,4,1,2,0,832,1,1,9,164,1,1,0,0
56,5,1,2,0,478,0,0,3,97,1,0,3,0
60,4,2,2,0,0,0,1,5,151,1,0,3,0
41,6,2,2,0,3950,1,0,8,96,2,0,3,0
37,4,2,3,0,504,1,0,0,555,1,0,3,0
36,1,2,1,0,219,1,1,8,270,2,1,0,0
57,4,1,2,0,1602,0,0,5,339,3,0,3,0
55,4,1,0,0,2587,0,0,11,328,2,2,2,1
44,0,1,1,0,0,1,1,8,159,1,0,3,0
47,6,1,2,0,2303,1,0,8,323,2,1,0,0
31,1,1,1,0,1660,1,0,0,342,1,0,3,0
35,4,1,2,1,32,1,0,9,180,1,0,3,0
39,4,1,2,0,278,0,1,5,60,3,0,3,0
50,4,1,2,0,4,0,0,9,223,1,2,0,0
29,4,1,2,0,318,1,0,8,1434,2,4,0,0
30,7,2,1,0,209,1,0,8,30,2,0,3,0
46,7,1,1,0,271,1,0,8,134,4,0,3,0
27,4,2,3,0,3196,0,0,3,10,2,0,3,0
48,0,0,1,0,4099,0,0,0,397,2,0,3,1
26,8,2,1,0,2572,1,0,8,620,1,0,3,0
36,4,2,2,0,339,0,0,9,6,6,0,3,0
42,1,1,0,0,0,1,1,8,209,2,0,3,0
50,3,1,0,0,395,1,0,8,419,2,0,3,0
49,1,1,1,0,2039,1,0,9,283,2,0,3,0
45,4,1,2,0,5450,0,0,1,188,2,0,3,0
23,8,2,1,0,780,0,0,11,267,1,0,3,0
38,9,2,1,0,0,1,0,0,196,2,0,3,0
32,4,2,2,0,8436,1,0,0,245,1,2,0,0
60,9,2,0,0,11262,0,0,1,323,1,0,3,1
30,2,1,1,0,946,1,0,9,1065,1,1,1,0
58,3,1,2,0,497,0,0,6,138,5,0,3,0
60,5,1,0,0,55,0,0,6,207,1,0,3,0
38,7,1,1,0,-140,0,0,6,456,3,0,3,0
51,9,1,1,0,-379,1,0,1,261,1,0,3,0
42,0,1,1,0,-396,1,0,8,80,1,4,0,0
30,7,2,1,0,0,1,0,8,131,6,9,0,0
40,4,1,0,0,733,1,0,6,94,7,0,3,0
37,4,1,2,0,393,1,0,8,567,3,4,0,1
53,9,0,0,0,7290,1,0,8,153,1,0,3,0
27,7,2,1,0,468,1,0,8,109,1,0,3,0
39,1,1,1,0,0,1,0,0,53,1,1,0,0
39,1,1,0,0,3705,1,0,6,77,1,0,3,0
59,5,1,2,0,9676,0,0,7,234,2,0,3,1
37,7,1,1,0,1328,1,0,8,121,2,4,0,0
41,1,1,0,0,8,1,0,5,155,2,0,3,0
45,1,1,0,0,61,0,0,0,108,1,0,3,0
48,4,1,2,0,6613,0,0,6,159,3,0,3,0
48,9,1,1,0,302,1,0,8,208,3,0,3,0
32,1,1,1,0,1005,0,0,8,215,1,0,3,0
35,7,1,1,0,109,1,0,8,597,3,0,3,0
33,4,2,2,0,1240,1,0,3,505,2,1,1,0
28,1,2,0,0,0,1,1,6,380,4,0,3,0
64,5,1,3,0,2923,0,0,7,120,1,0,3,0
35,9,1,1,0,0,0,0,1,106,4,0,3,0
33,1,1,1,0,43,1,0,8,332,2,2,0,0
41,9,1,1,0,288,1,0,8,221,4,0,3,0
34,0,1,1,0,613,1,0,6,80,1,0,3,0
37,9,2,2,0,6101,0,0,8,60,5,1,2,0
38,1,1,0,0,168,1,1,8,212,3,0,3,0
39,1,1,0,0,7685,1,0,0,493,3,0,3,0
35,9,0,2,0,4515,1,0,9,98,2,0,3,0
28,1,2,1,0,517,0,1,5,681,1,0,3,1
27,1,2,1,0,148,0,0,5,203,1,0,3,0
48,5,1,0,1,-285,0,1,9,157,1,0,3,0
50,1,1,1,0,887,0,0,6,287,1,0,3,0
45,6,1,1,0,3098,1,0,1,159,2,0,3,0
41,9,1,2,0,744,1,0,8,125,1,0,3,0
39,9,1,1,0,130,0,0,5,202,2,0,3,0
44,4,1,1,0,438,1,0,8,37,3,1,0,0
54,0,1,1,0,0,0,0,4,161,1,2,0,1
49,4,1,2,0,322,0,0,1,72,4,0,3,0
34,1,2,1,0,186,0,0,3,342,1,0,3,0
75,5,0,2,0,3810,1,0,9,262,1,1,0,1
42,4,1,2,0,0,0,0,1,325,2,0,3,0
53,1,1,1,0,4380,0,0,1,223,7,0,3,0
49,4,0,2,0,755,0,0,5,1212,4,0,3,1
31,7,2,1,0,2070,0,0,1,319,2,0,3,0
45,1,2,0,0,999,0,0,4,182,2,0,3,0
39,6,1,1,0,167,1,1,5,330,1,0,3,0
46,9,1,1,0,1322,1,1,9,514,1,0,3,0
42,0,0,1,0,1076,1,0,8,213,1,0,3,0
37,4,1,2,0,502,1,0,8,551,1,1,0,0
26,9,2,2,0,1216,1,0,0,472,2,0,3,0
37,4,2,2,0,876,1,0,0,140,4,2,0,0
36,7,2,1,0,342,1,0,8,142,1,0,3,0
29,1,2,0,0,950,1,0,6,135,3,0,3,0
36,1,1,0,0,973,1,1,8,293,1,0,3,0
26,9,1,2,0,3825,1,0,8,107,1,0,3,0
32,1,1,1,0,2366,1,0,8,127,2,0,3,0
40,4,1,2,0,542,1,0,9,1816,1,0,3,0
53,4,1,0,0,995,0,0,3,200,3,0,3,0
29,4,1,2,0,20,1,0,8,418,1,0,3,0
34,9,2,2,0,228,1,0,5,387,4,0,3,0
43,1,1,1,0,130,0,0,8,156,1,3,0,0
56,4,1,2,0,217,0,1,5,121,2,0,3,0
55,2,0,2,0,0,0,0,6,108,2,0,3,0
31,6,1,2,0,259,1,0,8,47,1,0,3,0
27,0,2,1,0,619,1,0,0,16,5,4,1,0
36,4,1,1,0,644,1,0,9,54,2,0,3,0
44,4,1,2,0,22,1,0,1,265,2,0,3,0
37,0,0,2,0,4303,1,0,8,168,1,0,3,0
30,0,2,1,0,239,1,0,8,115,3,0,3,0
42,9,2,1,0,275,0,0,1,31,8,0,3,0
30,4,1,2,0,1221,1,0,5,279,4,0,3,1
62,5,1,1,0,816,0,0,11,28,2,0,3,0
24,1,1,1,0,1222,1,0,0,369,1,0,3,0
31,9,1,1,0,2363,1,0,8,247,1,0,3,0
66,5,1,2,0,2262,0,0,0,155,1,0,3,0
47,0,1,1,0,2,0,0,5,89,1,0,3,0
39,2,1,2,0,2,1,0,9,180,1,0,3,0
35,9,1,1,0,4508,1,0,9,854,1,0,3,1
35,0,0,1,0,-402,1,0,0,46,1,0,3,0
27,9,1,1,0,1577,1,1,8,266,2,0,3,0
32,1,1,1,0,34,1,0,8,321,2,0,3,0
44,4,1,2,0,795,0,0,1,99,24,0,3,0
42,1,1,1,0,117,1,0,8,147,1,0,3,0
34,6,2,2,0,5462,0,0,0,430,1,0,3,1
25,7,2,1,0,402,0,1,5,264,1,0,3,0
40,9,2,1,0,641,0,0,5,156,6,0,3,0
43,4,0,2,0,36,0,0,8,118,1,2,0,0
55,10,1,2,0,383,0,0,8,343,3,0,3,0
50,1,1,1,0,283,1,0,1,226,3,0,3,0
45,4,0,2,0,0,0,0,6,5,1,0,3,0
35,1,0,1,0,3102,1,0,9,138,1,0,3,0
32,1,1,1,0,889,1,0,11,185,1,5,2,1
59,3,1,1,0,0,0,0,3,722,1,4,0,0
34,6,1,1,0,-370,1,0,8,748,1,0,3,0
39,4,1,2,0,-606,1,0,8,142,1,0,3,0
40,4,2,1,0,10378,1,0,9,523,3,0,3,0
36,1,2,0,0,1313,1,0,6,8,10,0,3,0
40,4,1,2,0,8969,1,0,9,153,1,0,3,0
55,6,1,1,0,-196,1,0,8,210,2,0,3,0
38,2,1,1,1,15,1,0,5,121,1,0,3,0
61,0,1,1,0,4608,0,0,7,212,1,0,3,1
41,4,1,2,0,666,1,0,8,253,3,0,3,0
57,1,1,0,0,452,1,0,8,139,4,0,3,0
48,1,1,1,0,149,1,0,8,71,1,0,3,0
77,5,1,2,0,7802,0,0,8,421,1,2,2,1
35,7,1,1,0,1453,1,0,8,199,1,0,3,0
54,1,1,1,0,1480,1,0,8,108,1,0,3,0
37,4,2,3,0,715,1,0,8,247,2,0,3,0
56,4,2,1,0,237,1,0,5,236,4,0,3,0
40,9,1,1,0,694,1,0,3,97,4,5,0,0
40,4,1,2,0,0,0,0,5,109,8,0,3,0
54,4,1,2,0,55,1,0,6,112,2,0,3,0
55,3,1,0,0,136,1,0,6,15,10,0,3,0
55,7,0,1,1,-404,1,0,5,502,3,0,3,0
52,1,1,0,0,779,1,0,8,30,3,0,3,0
55,1,2,0,0,1187,1,0,6,193,2,0,3,0
